ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
INTC,INTEL CORPORATION,2021,71965000000,21048000000,42140000000,22035000000.0,29825000000,489000000.0,4.77,4.71,153091000000,,74563000000,47249000000,24754000000,3019000000,1830000000.0,6782000000,33897000000.0,8427000000.0
INTC,INTEL CORPORATION,2020,70848000000,21053000000,43737000000,23316000000.0,27111000000,468000000.0,4.57,4.48,136524000000,,69653000000,31239000000,22310000000,3433000000,450000000.0,7659000000,25308000000.0,8744000000.0
INTU,INTUIT INC.,2025,14368000000,2384000000,14205000000,3141000000.0,163000000,248000000.0,8.49,8.42,32132000000,13696000000.0,16441000000,9678000000,7491000000,2848000000,465000000.0,457000000,5539000000.0,
INTU,INTUIT INC.,2024,12726000000,2066000000,12586000000,2571000000.0,140000000,81000000.0,7.38,7.28,27780000000,10511000000.0,9869000000,5557000000,3790000000,2796000000,814000000.0,405000000,6120000000.0,
INTU,INTUIT INC.,2023,9633000000,2062000000,9583000000,2500000000.0,50000000,29000000.0,7.65,7.56,27734000000,11293000000.0,5106000000,5047000000,3630000000,2562000000,485000000.0,446000000,6415000000.0,
INTU,INTUIT INC.,2022,7679000000,1826000000,7657000000,2176000000.0,22000000,14000000.0,6.99,6.92,15516000000,5647000000.0,3749000000,5157000000,2655000000,6442000000,1308000000.0,391000000,2034000000.0,
INTU,INTUIT INC.,2021,6784000000,1557000000,6764000000,1854000000.0,20000000,15000000.0,5.99,5.89,10931000000,5825000000.0,2816000000,7980000000,3529000000,2116000000,608000000.0,149000000,2031000000.0,
INTU,INTUIT INC.,2020,6025000000,1329000000,5778000000,1560000000.0,247000000,20000000.0,5.18,5.09,6283000000,2534000000.0,1699000000,3594000000,1966000000,1464000000,624000000.0,87000000,386000000.0,
META,"Meta Platforms, Inc.",2025,134902000000,39098000000,108943000000,46751000000.0,25959000000,420000000.0,15.19,14.87,276054000000,93417000000.0,125713000000,100045000000,33596000000,41862000000,33926000000.0,16994000000,28826000000.0,
META,"Meta Platforms, Inc.",2024,116609000000,23200000000,91360000000,28944000000.0,25249000000,160000000.0,8.63,8.59,229623000000,76455000000.0,124879000000,85365000000,31960000000,14681000000,23541000000.0,16169000000,18385000000.0,
META,"Meta Platforms, Inc.",2023,117929000000,39370000000,95280000000,46753000000.0,22649000000,23000000.0,13.99,13.77,185727000000,60014000000.0,128290000000,59549000000,27026000000,16601000000,26057000000.0,13466000000,9923000000.0,
META,"Meta Platforms, Inc.",2022,85965000000,29146000000,69273000000,32671000000.0,16692000000,672000000.0,10.22,10.09,165987000000,41108000000.0,101054000000,66666000000,21135000000,17576000000,31397000000.0,14039000000,0.0,
META,"Meta Platforms, Inc.",2021,70697000000,18485000000,57927000000,23986000000.0,12770000000,904000000.0,6.48,6.43,159316000000,31026000000.0,84127000000,75670000000,14981000000,19079000000,44378000000.0,11335000000,,
META,"Meta Platforms, Inc.",2020,55838000000,22112000000,46483000000,24913000000.0,9355000000,652000000.0,7.65,7.57,133376000000,32322000000.0,74347000000,66225000000,15053000000,10019000000,35776000000.0,9518000000,,
